resume_text,job_description,match_score,match_label
"Business Analyst with 2 years of experience. Skilled in SQL, Excel, Power BI, Communication, Reporting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Business Analyst. Required skills include SQL, Excel, Power BI, Communication, Reporting. Candidate should possess strong communication skills and relevant industry experience.",0.94,high
"ML Engineer with 5 years of experience. Skilled in Python, PyTorch, TensorFlow, Deep Learning, MLOps. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow, Deep Learning, MLOps. Candidate should possess strong communication skills and relevant industry experience.",0.82,high
"Data Scientist with 9 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas, NumPy, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.82,high
"Backend Developer with 10 years of experience. Skilled in Java, Spring Boot, SQL, REST API, Docker. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Backend Developer. Required skills include Java, Spring Boot, SQL, REST API, Docker. Candidate should possess strong communication skills and relevant industry experience.",0.83,high
"Frontend Developer with 4 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML, CSS, Redux. Candidate should possess strong communication skills and relevant industry experience.",0.9,high
"Marketing Manager with 5 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics, Branding, Campaigns. Candidate should possess strong communication skills and relevant industry experience.",0.88,high
"Backend Developer with 1 years of experience. Skilled in Java, Spring Boot, SQL, REST API, Docker. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Backend Developer. Required skills include Java, Spring Boot, SQL, REST API, Docker. Candidate should possess strong communication skills and relevant industry experience.",0.81,high
"Full Stack Developer with 5 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB, Express, REST API. Candidate should possess strong communication skills and relevant industry experience.",0.81,high
"Frontend Developer with 3 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML, CSS, Redux. Candidate should possess strong communication skills and relevant industry experience.",0.9,high
"Backend Developer with 3 years of experience. Skilled in Java, Spring Boot, SQL, REST API, Docker. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Backend Developer. Required skills include Java, Spring Boot, SQL, REST API, Docker. Candidate should possess strong communication skills and relevant industry experience.",0.91,high
"Cloud Engineer with 7 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes, Terraform, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.88,high
"Data Scientist with 3 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas. Candidate should possess strong communication skills and relevant industry experience.",0.56,medium
"Marketing Manager with 10 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML. Candidate should possess strong communication skills and relevant industry experience.",0.57,medium
"Full Stack Developer with 1 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.49,medium
"HR Specialist with 1 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a HR Specialist. Required skills include Recruitment, Onboarding, Communication. Candidate should possess strong communication skills and relevant industry experience.",0.67,medium
"AI Engineer with 4 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Business Analyst. Required skills include SQL, Excel, Power BI. Candidate should possess strong communication skills and relevant industry experience.",0.6,medium
"Frontend Developer with 9 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership. Candidate should possess strong communication skills and relevant industry experience.",0.67,medium
"Full Stack Developer with 3 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a DevOps Engineer. Required skills include Docker, Kubernetes, CI/CD. Candidate should possess strong communication skills and relevant industry experience.",0.68,medium
"AI Engineer with 3 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics. Candidate should possess strong communication skills and relevant industry experience.",0.69,medium
"Sales Manager with 7 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.41,medium
"Healthcare Analyst with 6 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a HR Specialist. Required skills include Recruitment, Onboarding, Communication. Candidate should possess strong communication skills and relevant industry experience.",0.63,medium
"Full Stack Developer with 4 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership. Candidate should possess strong communication skills and relevant industry experience.",0.48,medium
"Sales Manager with 2 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL. Candidate should possess strong communication skills and relevant industry experience.",0.51,medium
"Data Analyst with 8 years of experience. Skilled in Python, SQL, Power BI, Tableau, Excel. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics. Candidate should possess strong communication skills and relevant industry experience.",0.47,medium
"Marketing Manager with 8 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a HR Specialist. Required skills include Recruitment, Onboarding, Communication. Candidate should possess strong communication skills and relevant industry experience.",0.5,medium
"Marketing Manager with 4 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership. Candidate should possess strong communication skills and relevant industry experience.",0.47,medium
"Business Analyst with 7 years of experience. Skilled in SQL, Excel, Power BI, Communication, Reporting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a AI Engineer. Required skills include LLMs, Python, NLP. Candidate should possess strong communication skills and relevant industry experience.",0.5,medium
"Marketing Manager with 5 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas. Candidate should possess strong communication skills and relevant industry experience.",0.51,medium
"Cloud Engineer with 9 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB. Candidate should possess strong communication skills and relevant industry experience.",0.5,medium
"Data Analyst with 5 years of experience. Skilled in Python, SQL, Power BI, Tableau, Excel. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas. Candidate should possess strong communication skills and relevant industry experience.",0.45,medium
"Backend Developer with 2 years of experience. Skilled in Java, Spring Boot, SQL, REST API, Docker. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Analyst. Required skills include Python, SQL, Power BI. Candidate should possess strong communication skills and relevant industry experience.",0.58,medium
"Frontend Developer with 6 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL. Candidate should possess strong communication skills and relevant industry experience.",0.53,medium
"Cloud Engineer with 7 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas. Candidate should possess strong communication skills and relevant industry experience.",0.67,medium
"AI Engineer with 1 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Backend Developer. Required skills include Java, Spring Boot, SQL. Candidate should possess strong communication skills and relevant industry experience.",0.61,medium
"Data Analyst with 9 years of experience. Skilled in Python, SQL, Power BI, Tableau, Excel. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes. Candidate should possess strong communication skills and relevant industry experience.",0.61,medium
"Healthcare Analyst with 4 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL. Candidate should possess strong communication skills and relevant industry experience.",0.51,medium
"Data Scientist with 6 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Business Analyst. Required skills include SQL, Excel, Power BI. Candidate should possess strong communication skills and relevant industry experience.",0.59,medium
"Business Analyst with 2 years of experience. Skilled in SQL, Excel, Power BI, Communication, Reporting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics. Candidate should possess strong communication skills and relevant industry experience.",0.62,medium
"Backend Developer with 5 years of experience. Skilled in Java, Spring Boot, SQL, REST API, Docker. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes. Candidate should possess strong communication skills and relevant industry experience.",0.6,medium
"Frontend Developer with 5 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB. Candidate should possess strong communication skills and relevant industry experience.",0.57,medium
"AI Engineer with 7 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB. Candidate should possess strong communication skills and relevant industry experience.",0.6,medium
"HR Specialist with 10 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.57,medium
"Full Stack Developer with 1 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes. Candidate should possess strong communication skills and relevant industry experience.",0.49,medium
"AI Engineer with 10 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB. Candidate should possess strong communication skills and relevant industry experience.",0.58,medium
"Frontend Developer with 8 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cybersecurity Analyst. Required skills include SIEM, Network Security, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.53,medium
"AI Engineer with 8 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes. Candidate should possess strong communication skills and relevant industry experience.",0.64,medium
"Sales Manager with 3 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL. Candidate should possess strong communication skills and relevant industry experience.",0.6,medium
"Backend Developer with 10 years of experience. Skilled in Java, Spring Boot, SQL, REST API, Docker. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes. Candidate should possess strong communication skills and relevant industry experience.",0.5,medium
"Marketing Manager with 4 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership. Candidate should possess strong communication skills and relevant industry experience.",0.6,medium
"AI Engineer with 4 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership. Candidate should possess strong communication skills and relevant industry experience.",0.44,medium
"Data Analyst with 8 years of experience. Skilled in Python, SQL, Power BI, Tableau, Excel. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a AI Engineer. Required skills include LLMs, Python, NLP. Candidate should possess strong communication skills and relevant industry experience.",0.58,medium
"Sales Manager with 8 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas. Candidate should possess strong communication skills and relevant industry experience.",0.52,medium
"Business Analyst with 4 years of experience. Skilled in SQL, Excel, Power BI, Communication, Reporting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a DevOps Engineer. Required skills include Docker, Kubernetes, CI/CD. Candidate should possess strong communication skills and relevant industry experience.",0.62,medium
"Full Stack Developer with 7 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cybersecurity Analyst. Required skills include SIEM, Network Security, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.47,medium
"Business Analyst with 1 years of experience. Skilled in SQL, Excel, Power BI, Communication, Reporting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL. Candidate should possess strong communication skills and relevant industry experience.",0.67,medium
"Marketing Manager with 2 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership. Candidate should possess strong communication skills and relevant industry experience.",0.63,medium
"AI Engineer with 9 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.54,medium
"Cloud Engineer with 2 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a AI Engineer. Required skills include LLMs, Python, NLP. Candidate should possess strong communication skills and relevant industry experience.",0.54,medium
"Sales Manager with 9 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cybersecurity Analyst. Required skills include SIEM, Network Security, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.7,medium
"DevOps Engineer with 8 years of experience. Skilled in Docker, Kubernetes, CI/CD, AWS, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML. Candidate should possess strong communication skills and relevant industry experience.",0.58,medium
"Healthcare Analyst with 9 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a HR Specialist. Required skills include Recruitment, Onboarding, Communication. Candidate should possess strong communication skills and relevant industry experience.",0.53,medium
"HR Specialist with 8 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes. Candidate should possess strong communication skills and relevant industry experience.",0.67,medium
"Healthcare Analyst with 8 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics. Candidate should possess strong communication skills and relevant industry experience.",0.54,medium
"Sales Manager with 5 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a AI Engineer. Required skills include LLMs, Python, NLP. Candidate should possess strong communication skills and relevant industry experience.",0.63,medium
"Cloud Engineer with 4 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cybersecurity Analyst. Required skills include SIEM, Network Security, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.48,medium
"Data Scientist with 5 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL. Candidate should possess strong communication skills and relevant industry experience.",0.47,medium
"Frontend Developer with 9 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML. Candidate should possess strong communication skills and relevant industry experience.",0.42,medium
"ML Engineer with 7 years of experience. Skilled in Python, PyTorch, TensorFlow, Deep Learning, MLOps. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a AI Engineer. Required skills include LLMs, Python, NLP. Candidate should possess strong communication skills and relevant industry experience.",0.61,medium
"Healthcare Analyst with 2 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a AI Engineer. Required skills include LLMs, Python, NLP. Candidate should possess strong communication skills and relevant industry experience.",0.52,medium
"Frontend Developer with 8 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes. Candidate should possess strong communication skills and relevant industry experience.",0.52,medium
"AI Engineer with 7 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics. Candidate should possess strong communication skills and relevant industry experience.",0.52,medium
"Sales Manager with 1 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a DevOps Engineer. Required skills include Docker, Kubernetes, CI/CD. Candidate should possess strong communication skills and relevant industry experience.",0.66,medium
"Sales Manager with 7 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a DevOps Engineer. Required skills include Docker, Kubernetes, CI/CD. Candidate should possess strong communication skills and relevant industry experience.",0.54,medium
"Frontend Developer with 7 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Backend Developer. Required skills include Java, Spring Boot, SQL. Candidate should possess strong communication skills and relevant industry experience.",0.66,medium
"Marketing Manager with 9 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB. Candidate should possess strong communication skills and relevant industry experience.",0.62,medium
"Cloud Engineer with 10 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership. Candidate should possess strong communication skills and relevant industry experience.",0.67,medium
"Cybersecurity Analyst with 5 years of experience. Skilled in SIEM, Network Security, Linux, SOC, Risk Analysis. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a AI Engineer. Required skills include LLMs, Python, NLP. Candidate should possess strong communication skills and relevant industry experience.",0.53,medium
"Data Analyst with 6 years of experience. Skilled in Python, SQL, Power BI, Tableau, Excel. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB. Candidate should possess strong communication skills and relevant industry experience.",0.6,medium
"Sales Manager with 3 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB. Candidate should possess strong communication skills and relevant industry experience.",0.65,medium
"HR Specialist with 10 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.56,medium
"HR Specialist with 10 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB. Candidate should possess strong communication skills and relevant industry experience.",0.57,medium
"Data Analyst with 7 years of experience. Skilled in Python, SQL, Power BI, Tableau, Excel. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas. Candidate should possess strong communication skills and relevant industry experience.",0.44,medium
"Cybersecurity Analyst with 1 years of experience. Skilled in SIEM, Network Security, Linux, SOC, Risk Analysis. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.48,medium
"Frontend Developer with 8 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a AI Engineer. Required skills include LLMs, Python, NLP. Candidate should possess strong communication skills and relevant industry experience.",0.5,medium
"Sales Manager with 7 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a HR Specialist. Required skills include Recruitment, Onboarding, Communication. Candidate should possess strong communication skills and relevant industry experience.",0.48,medium
"Marketing Manager with 5 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB. Candidate should possess strong communication skills and relevant industry experience.",0.65,medium
"Cybersecurity Analyst with 9 years of experience. Skilled in SIEM, Network Security, Linux, SOC, Risk Analysis. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Analyst. Required skills include Python, SQL, Power BI. Candidate should possess strong communication skills and relevant industry experience.",0.42,medium
"Frontend Developer with 2 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a AI Engineer. Required skills include LLMs, Python, NLP. Candidate should possess strong communication skills and relevant industry experience.",0.63,medium
"Business Analyst with 1 years of experience. Skilled in SQL, Excel, Power BI, Communication, Reporting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Analyst. Required skills include Python, SQL, Power BI. Candidate should possess strong communication skills and relevant industry experience.",0.68,medium
"AI Engineer with 1 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics. Candidate should possess strong communication skills and relevant industry experience.",0.59,medium
"AI Engineer with 8 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.6,medium
"DevOps Engineer with 8 years of experience. Skilled in Docker, Kubernetes, CI/CD, AWS, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a AI Engineer. Required skills include LLMs, Python, NLP. Candidate should possess strong communication skills and relevant industry experience.",0.61,medium
"Sales Manager with 3 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML. Candidate should possess strong communication skills and relevant industry experience.",0.58,medium
"Healthcare Analyst with 2 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL. Candidate should possess strong communication skills and relevant industry experience.",0.63,medium
"ML Engineer with 2 years of experience. Skilled in Python, PyTorch, TensorFlow, Deep Learning, MLOps. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Backend Developer. Required skills include Java, Spring Boot, SQL. Candidate should possess strong communication skills and relevant industry experience.",0.57,medium
"HR Specialist with 10 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Backend Developer. Required skills include Java, Spring Boot, SQL. Candidate should possess strong communication skills and relevant industry experience.",0.6,medium
"Full Stack Developer with 4 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB. Candidate should possess strong communication skills and relevant industry experience.",0.42,medium
